Geneid	HISAT2 on data 2 and data 1: aligned reads (BAM)
SMAP2	4527
ZNF643	3002
ZNF642	1003
DEM1	1486
ZNF684	220
RIMS3	6272
LOC100130557	575
NFYC	4598
MIR30E	0
MIR30C1	1
KCNQ4	242
CITED4	30
CTPS	3926
LOC100507178	99
SLFNL1	57
SCMH1	3785
EDN2	10
HIVEP3	8340
GUCA2B	0
GUCA2A	0
FOXJ3	12440
RIMKLA	4168
ZMYND12	18
PPCS	950
CCDC30	312
PPIH	1563
YBX1	91087
CLDN19	7
LEPRE1	1845
C1orf50	987
LOC100129924	53
CCDC23	3495
ERMAP	266
ZNF691	672
SLC2A1	3587
FLJ32224	18
FAM183A	0
EBNA1BP2	3200
WDR65	64
TMEM125	48
C1orf210	0
TIE1	728
MPL	54
CDC20	1484
ELOVL1	820
MED8	1595
SZT2	6744
HYI	0
PTPRF	21709
KDM4A	10724
LOC100132774	93
ST3GAL3	2827
ARTN	155
IPO13	4763
DPH2	1790
ATP6V0B	7380
B4GALT2	8700
CCDC24	942
SLC6A9	1480
KLF17	1
DMAP1	4093
ERI3	4339
RNF220	7988
TMEM53	307
C1orf228	188
KIF2C	1558
RPS8	57346
SNORD55	56
SNORD46	41
SNORD38A	55
SNORD38B	55
BEST4	81
PLK3	1084
TCTEX1D4	9
BTBD19	114
PTCH2	4300
EIF2B3	2202
HECTD3	8140
UROD	2089
ZSWIM5	6288
LOC400752	55
HPDL	157
MUTYH	1890
TOE1	729
TESK2	118
CCDC163P	337
MMACHC	605
PRDX1	9662
AKR1A1	5992
NASP	20620
CCDC17	53
GPBP1L1	4669
RPS15AP10	60
TMEM69	1453
IPP	1305
MAST2	20319
PIK3R3	7994
TSPAN1	96
POMGNT1	5979
LURAP1	59
RAD54L	653
LRRC41	5136
UQCRH	7295
NSUN4	1663
FAAH	2623
LOC729041	28
DMBX1	0
LOC100507423	37
KNCN	10
MKNK1	952
MOB3C	133
ATPAF1	2401
ATPAF1-AS1	0
LOC100130197	20
KIAA0494	3691
CYP4B1	0
CYP4Z2P	1
CYP4A11	40
CYP4X1	1123
CYP4Z1	21
CYP4A22	3
PDZK1IP1	0
TAL1	183
STIL	1480
CMPK1	8497
FOXE3	4
MGC12982	8
FOXD2	6
LOC388630	17
SKINTL	0
SLC5A9	6
SPATA6	396
AGBL4	127
BEND5	1213
ELAVL4	5353
DMRTA2	1351
FAF1	2804
CDKN2C	1120
C1orf185	0
RNF11	10709
TTC39A	23
EPS15	5198
OSBPL9	3861
NRD1	13240
MIR761	0
RAB3B	1824
TXNDC12	2078
KTI12	643
BTF3L4	9121
ZFYVE9	6741
CC2D1B	3719
ORC1	448
PRPF38A	5645
ZCCHC11	11516
GPX7	430
FAM159A	8
SELRC1	2288
ZYG11B	13136
ZYG11A	29
ECHDC2	799
SCP2	3501
PODN	141
SLC1A7	2
CPT2	702
C1orf123	2227
MAGOH	1186
LOC100507564	36
LRP8	33566
FLJ40434	2
DMRTB1	10
GLIS1	29
TMEM48	3609
YIPF1	1060
DIO1	3
HSPB11	826
LRRC42	1887
LDLRAD1	0
TMEM59	8404
TCEANC2	997
MIR4781	0
CDCP2	6
CYB5RL	644
MRPL37	3695
SSBP3	17259
ACOT11	58
FAM151A	9
HEATR8	13
HEATR8-TTC4	2
TTC4	147
PARS2	251
TTC22	16
C1orf177	5
DHCR24	13330
TMEM61	13
BSND	2
PCSK9	1259
USP24	14708
LOC100507634	50
MIR4422	3
PPAP2B	3903
PRKAA2	2593
C1orf168	1
C8A	0
C8B	2
DAB1	9489
OMA1	265
TACSTD2	0
MYSM1	6626
JUN	9905
LOC100131060	33
HSD52	0
FGGY	195
MIR4711	0
HOOK1	743
CYP2J2	40
C1orf87	2
NFIA	14218
TM2D1	1016
INADL	1734
L1TD1	12
KANK4	68
USP1	7287
DOCK7	11109
ANGPTL3	28
ATG4C	1001
LINC00466	0
FOXD3	0
ALG6	1064
ITGB3BP	624
EFCAB7	2499
DLEU2L	437
PGM1	1132
ROR1	203
UBE2U	0
CACHD1	4513
MIR4794	0
RAVER2	4767
JAK1	7457
MIR3671	60
MIR101-1	0
AK4	1096
DNAJC6	14717
LEPROT	3048
LEPR	766
PDE4B	5561
SGIP1	5265
MIR3117	5
TCTEX1D1	42
INSL5	1
WDR78	143
MIER1	3996
SLC35D1	3065
C1orf141	2
IL23R	0
IL12RB2	139
SERBP1	29520
GADD45A	943
GNG12	1776
LOC100289178	61
DIRAS3	202
WLS	3839
MIR1262	0
RPE65	0
DEPDC1	921
LRRC7	12558
PIN1P1	12
LRRC40	4437
SRSF11	21782
ANKRD13C	5804
HHLA3	169
CTH	448
PTGER3	57
ZRANB2-AS1	255
ZRANB2	13067
MIR186	97
ZRANB2-AS2	12
NEGR1	5389
NEGR1-IT1	1
LRRIQ3	22
FPGT-TNNI3K	5
FPGT	946
TNNI3K	0
C1orf173	2246
CRYZ	581
TYW3	507
LHX8	0
SLC44A5	11917
ACADM	3502
RABGGTB	2273
SNORD45C	19
SNORD45A	24
SNORD45B	45
MSH4	75
ASB17	0
ST6GALNAC3	1094
ST6GALNAC5	712
PIGK	1837
AK5	1062
ZZZ3	4746
USP33	12499
FAM73A	2292
NEXN	104
FUBP1	21227
DNAJB4	1475
GIPC2	23
MGC27382	0
PTGFR	94
IFI44L	457
IFI44	2077
ELTD1	353
LPHN2	6938
TTLL7	10087
PRKACB	42108
SAMD13	76
UOX	2
DNASE2B	0
RPF1	2113
GNG5	1623
CTBS	257
C1orf180	0
SSX2IP	13188
LPAR3	5
MCOLN2	0
MCOLN3	0
WDR63	0
MIR4423	0
SYDE2	23
C1orf52	2908
BCL10	1060
LOC646626	8
DDAH1	6662
CYR61	2632
ZNHIT6	2325
COL24A1	170
ODF2L	3819
CLCA2	0
CLCA1	0
CLCA4	1
CLCA3P	1
SH3GLB1	14010
SEP15	4218
HS2ST1	4271
LOC339524	272
LMO4	55348
LOC100505768	17
PKN2	5242
GTF2B	1647
CCBL2	1162
RBMXL1	3397
GBP3	19
GBP1	6
GBP2	7
GBP7	2
GBP4	145
GBP5	6
GBP6	22
GBP1P1	0
LRRC8B	3865
FLJ27354	35
LRRC8C	931
LRRC8D	4093
GEMIN8P4	61
ZNF326	7116
BARHL2	4
ZNF644	10151
HFM1	676
CDC7	2778
HSP90B3P	6
TGFBR3	118
BRDT	5
EPHX4	364
BTBD8	375
KIAA1107	5112
C1orf146	43
GLMN	917
RPAP2	1474
GFI1	7
EVI5	1662
RPL5	62490
FAM69A	1736
SNORD21	39
SNORA66	47
MTF2	6333
TMED5	3450
CCDC18	629
LOC100131564	872
DR1	7067
FNBP1L	54310
BCAR3	510
LOC100129046	7
MIR760	35
DNTTIP2	3778
GCLM	516
ABCA4	33
ARHGAP29	790
ABCD3	6731
F3	1430
SLC44A3	41
CNN3	13168
LOC729970	287
ALG14	233
TMEM56	356
TMEM56-RWDD3	51
RWDD3	265
FLJ31662	0
PTBP2	12851
DPYD	454
MIR137HG	460
MIR2682	55
MIR137	0
LOC729987	27
SNX7	3762
LPPR5	8510
LOC100129620	141
LPPR4	25161
PALMD	3277
MIR548D1	0
MIR548AA1	0
FRRS1	34
AGL	3531
SLC35A3	1215
HIAT1	4649
SASS6	1126
CCDC76	2663
LRRC39	389
DBT	2917
RTCD1	3313
MIR553	4
CDC14A	325
GPR88	169
LOC100128787	0
VCAM1	748
EXTL2	2808
SLC30A7	3153
DPH5	1998
S1PR1	1776
OLFM3	2082
DNAJA1P5	1
COL11A1	5993
RNPC3	3235
AMY2B	1675
LOC648740	308
AMY2A	15
AMY1A	0
AMY1C	0
AMY1B	0
LOC100129138	20
PRMT6	1251
NTNG1	239
VAV3	111
SLC25A24	1621
NBPF4	0
NBPF6	0
FAM102B	4276
HENMT1	1070
PRPF38B	8059
FNDC7	4
STXBP3	1418
AKNAD1	148
SRG7	2
GPSM2	2034
CLCC1	4319
WDR47	32283
TAF13	1003
TMEM167B	6572
SCARNA2	61
C1orf194	124
KIAA1324	7750
SARS	14588
CELSR2	39979
PSRC1	2104
MYBPHL	15
SORT1	12456
PSMA5	3071
SYPL2	6
ATXN7L2	1588
CYB561D1	2439
AMIGO1	1600
GPR61	138
GNAI3	9052
MIR197	3
GNAT2	7
AMPD2	5999
GSTM4	375
GSTM2	1255
GSTM1	1437
GSTM5	589
GSTM3	4329
EPS8L3	4
CSF1	353
AHCYL1	8264
FAM40A	9502
ALX3	258
UBL4B	13
SLC6A17	4150
KCNC4	1274
LOC440600	24
RBM15	1413
SLC16A4	507
HBXIP	3091
PROK1	3
CYMP	0
KCNA10	0
KCNA2	494
KCNA3	779
CD53	133
LRIF1	1799
DRAM2	1595
CEPT1	1932
DENND2D	8
CHI3L2	0
RP11-165H20.1	0
CHIA	0
C1orf88	4
PGCP1	0
OVGP1	226
WDR77	2469
ATP5F1	7017
C1orf162	173
ADORA3	136
LOC100129269	4
RAP1A	2240
FAM212B	833
LOC100506343	164
DDX20	2114
KCND3	799
CTTNBP2NL	11600
MIR4256	4
WNT2B	504
ST7L	1665
CAPZA1	4537
MOV10	1015
RHOC	1241
PPM1J	355
FAM19A3	6
SLC16A1	4344
AKR7A2P1	85
LRIG2	2695
LOC643441	2
MAGI3	5097
PHTF1	2919
RSBN1	7355
PTPN22	13
LOC100287722	233
BCL2L15	182
AP4B1	3210
DCLRE1B	2236
HIPK1	8857
OLFML3	524
SYT6	6926
TRIM33	13278
BCAS2	2225
DENND2C	223
AMPD1	0
NRAS	8690
CSDE1	56774
SIKE1	4067
SYCP1	8
TSHB	7
TSPAN2	3030
NGF	10
VANGL1	890
CASQ2	0
NHLH2	144
SLC22A15	335
MAB21L3	2
ATP1A1	22906
ATP1A1OS	114
CD58	106
IGSF3	34408
MIR320B1	0
CD2	2
PTGFRN	9983
CD101	519
TTF2	741
MIR942	2
TRIM45	1834
VTCN1	75
MAN1A2	4763
FAM46C	112
GDAP2	1900
WDR3	4160
SPAG17	84
TBX15	76
WARS2	872
HAO2	0
HSD3B2	2
HSD3B1	0
HSD3BP4	48
LOC644242	131
ZNF697	4128
PHGDH	2274
HMGCS2	0
REG4	0
NBPF7	2
ADAM30	0
NOTCH2	8475
FAM72B	185
HIST2H2BA	101
FCGR1B	32
EMBP1	98
LOC375010	13
LOC100130000	8
FLJ39739	5
LOC100286793	20
PPIAL4G	2
FAM72D	103
SRGAP2P2	2611
LOC728855	11
LOC728875	23
PPIAL4C	0
PPIAL4B	0
PPIAL4A	0
PFN1P2	195
NBPF9	1704
LOC653513	559
PDE4DIP	33035
SEC22B	3078
NOTCH2NL	598
NBPF10	1192
HFE2	4
TXNIP	6846
POLR3GL	1547
ANKRD34A	1716
LIX1L	1903
RBM8A	6671
GNRHR2	436
PEX11B	2509
ITGA10	264
ANKRD35	333
PIAS3	2261
NUDT17	399
POLR3C	2164
RNF115	1656
CD160	204
PDZK1	83
GPR89A	477
GPR89C	11
PDZK1P1	7
NBPF11	0
NBPF24	19
LOC728989	224
PRKAB2	9059
PDIA3P	939
FMO5	112
CHD1L	1098
LOC100289211	0
BCL9	15003
ACP6	242
GJA5	90
GJA8	0
GPR89B	140
NBPF14	2281
PPIAL4F	0
PPIAL4D	0
NBPF15	478
NBPF16	111
PPIAL4E	0
LOC645166	348
LOC388692	118
FCGR1C	26
HIST2H2BF	294
FAM91A2	14
FCGR1A	41
HIST2H3D	21
HIST2H4A	0
HIST2H4B	0
HIST2H3A	0
HIST2H3C	0
HIST2H2AA4	0
HIST2H2AA3	0
HIST2H2BC	61
HIST2H2BE	1905
HIST2H2AC	30
HIST2H2AB	3
BOLA1	496
SV2A	19688
SF3B4	4298
MTMR11	565
OTUD7B	1314
VPS45	4969
PLEKHO1	5485
ANP32E	4476
CA14	404
APH1A	7936
C1orf54	134
C1orf51	688
MRPS21	3897
PRPF3	5733
RPRD2	11069
TARS2	1928
ECM1	493
ADAMTSL4	134
MIR4257	1
MCL1	17922
ENSA	11649
GOLPH3L	1032
HORMAD1	4
CTSS	102
CTSK	400
ARNT	3676
SETDB1	7426
CERS2	3642
ANXA9	515
FAM63A	1664
PRUNE	2971
BNIPL	49
C1orf56	547
CDC42SE1	7079
MLLT11	42687
GABPB2	876
SEMA6C	13573
TNFAIP8L2	45
TNFAIP8L2-SCNM1	0
LYSMD1	2032
SCNM1	197
TMOD4	59
VPS72	6626
PIP5K1A	5291
PSMD4	7276
ZNF687	2388
PI4KB	5945
RFX5	3048
SELENBP1	318
PSMB4	7785
POGZ	26920
CGN	243
TUFT1	793
MIR554	0
SNX27	12747
CELF3	37101
RIIAD1	20
MRPL9	1986
OAZ3	154
TDRKH	2575
LINGO4	2
RORC	4
C2CD4D	20
LOC100132111	30
THEM5	23
THEM4	234
S100A10	164
S100A11	177
TCHHL1	0
TCHH	73
RPTN	0
HRNR	77
FLG	1351
FLG2	29
CRNN	0
LCE5A	0
CRCT1	0
LCE3E	0
LCE3D	0
LCE3C	0
LCE3B	0
LCE3A	0
LCE2D	0
LCE2C	0
LCE2B	0
LCE2A	0
LCE4A	0
C1orf68	0
KPRP	0
LCE1F	0
LCE1E	0
LCE1D	0
LCE1C	0
LCE1B	0
LCE1A	0
LCE6A	0
SMCP	0
IVL	0
SPRR4	0
SPRR1A	0
SPRR3	0
SPRR1B	0
SPRR2D	16
SPRR2A	11
SPRR2B	0
SPRR2E	1
SPRR2F	0
SPRR2C	0
SPRR2G	4
LELP1	0
PRR9	0
LOR	20
PGLYRP3	0
PGLYRP4	0
S100A9	4
S100A12	4
S100A8	6
S100A7A	0
S100A7L2	0
S100A7	0
S100A6	169
S100A5	0
S100A4	4
S100A3	0
S100A2	0
S100A16	268
S100A14	0
S100A13	105
S100A1	11
CHTOP	8930
SNAPIN	1364
ILF2	16869
NPR1	64
INTS3	10015
SLC27A3	1814
GATAD2B	17610
DENND4B	6017
CRTC2	2823
SLC39A1	2180
CREB3L4	1544
JTB	3605
RAB13	939
RPS27	36028
NUP210L	98
TPM3	17009
MIR190B	0
C1orf189	7
C1orf43	7592
UBAP2L	16187
HAX1	2524
AQP10	0
ATP8B2	5486
IL6R	150
SHE	204
TDRD10	29
UBE2Q1	5687
CHRNB2	6072
ADAR	23813
KCNN3	3766
PMVK	2621
PBXIP1	1549
PYGO2	3001
SHC1	1314
CKS1B	877
MIR4258	1
FLAD1	2512
LENEP	11
ZBTB7B	102
DCST2	67
DCST1	27
LOC100505666	47
ADAM15	2833
EFNA4	58
EFNA3	1912
EFNA1	304
SLC50A1	551
DPM3	289
KRTCAP2	1481
TRIM46	6916
MUC1	118
MIR92B	2
THBS3	2086
MTX1	686
GBAP1	949
GBA	1002
FAM189B	2347
SCAMP3	3309
CLK2	4127
HCN3	7207
PKLR	14
FDPS	5759
RUSC1-AS1	222
RUSC1	14262
ASH1L	17014
MIR555	2
POU5F1P4	10
LOC645676	255
MSTO1	896
YY1AP1	7535
DAP3	4546
MSTO2P	698
GON4L	5799
SYT11	36115
RIT1	2301
KIAA0907	6915
SNORA42	8
SCARNA4	11
RXFP4	9
ARHGEF2	17781
SSR2	10208
UBQLN4	6268
LAMTOR2	1206
RAB25	42
MEX3A	33960
LMNA	2777
SEMA4A	2509
SLC25A44	3967
PMF1	525
PMF1-BGLAP	0
BGLAP	27
PAQR6	1101
SMG5	9170
TMEM79	317
C1orf85	525
VHLL	18
CCT3	19235
C1orf182	72
RHBG	11
C1orf61	12727
MIR9-1	5
MEF2D	6406
IQGAP3	1935
TTC24	5
APOA1BP	1607
GPATCH4	2254
HAPLN2	452
BCAN	5096
NES	9981
CRABP2	274
ISG20L2	2606
RRNAD1	1428
MRPL24	1542
HDGF	13900
PRCC	6686
SH2D2A	72
NTRK1	28
INSRR	72
PEAR1	243
LRRC71	54
ARHGEF11	10313
MIR765	5
ETV3L	3
ETV3	947
CYCSP52	10
FCRL5	0
FCRL4	0
FCRL3	3
FCRL2	0
FCRL1	0
CD5L	12
KIRREL	2808
LOC646268	0
CD1D	73
CD1A	0
CD1C	2
CD1B	0
CD1E	0
OR10T2	0
OR10K2	0
OR10K1	0
OR10R2	0
OR6Y1	0
OR6P1	0
OR10X1	0
OR10Z1	0
SPTA1	48
OR6K2	0
OR6K3	0
OR6K6	0
OR6N1	0
OR6N2	0
MNDA	93
PYHIN1	0
IFI16	914
AIM2	235
CADM3	15863
LOC100131825	324
DARC	792
FCER1A	0
OR10J3	0
OR10J1	0
OR10J5	0
APCS	0
CRP	2
DUSP23	315
FCRL6	4
SLAMF8	203
C1orf204	480
VSIG8	6
CCDC19	13
TAGLN2	3481
IGSF9	5493
SLAMF9	0
LOC100505633	6
PIGM	1737
KCNJ10	1275
KCNJ9	2376
IGSF8	9055
ATP1A2	11241
ATP1A4	71
CASQ1	179
PEA15	38069
DCAF8	8537
PEX19	2966
COPA	19367
SUMO1P3	221
NCSTN	4197
NHLH1	2715
VANGL2	20716
SLAMF6	2
CD84	183
SLAMF1	0
CD48	0
SLAMF7	0
LY9	0
CD244	0
