Geneid	HISAT2 on data 4 and data 3: aligned reads (BAM)
CNR2	0
MIR378F	0
PNRC2	750
SRSF10	2075
MYOM3	0
IL22RA1	0
IL28RA	5
LOC284632	0
GRHL3	0
C1orf201	170
NIPAL3	1406
RCAN3AS	0
RCAN3	919
C1orf130	2
SRRM1	11902
CLIC4	19414
RUNX3	11
SYF2	4172
C1orf63	6932
RHD	163
TMEM50A	10127
RHCE	16
TMEM57	11792
LDLRAP1	315
MAN1C1	1915
SEPN1	13996
FAM54B	5189
LOC646471	1323
C1orf135	177
PAQR7	1678
STMN1	188516
MIR3917	0
PAFAH2	573
EXTL1	374
SLC30A2	0
TRIM63	0
PDIK1L	9657
FAM110D	91
ZNF593	527
CNKSR1	1267
CATSPER4	3
CEP85	2778
SH3BGRL3	4169
UBXN11	1010
CD52	0
AIM1L	47
ZNF683	0
LIN28A	7
DHDDS	3157
HMGN2	20877
RPS6KA1	428
MIR1976	0
ARID1A	31340
PIGV	534
ZDHHC18	2887
SFN	10
GPN2	1658
GPATCH3	1460
NR0B2	0
NUDC	6671
C1orf172	20
TRNP1	1210
FAM46B	9
SLC9A1	1431
WDTC1	6854
TMEM222	2878
LOC644961	560
SYTL1	14
MAP3K6	354
FCN3	4
CD164L2	0
GPR3	66
WASF2	7424
AHDC1	11040
FGR	135
IFI6	651
FAM76A	1243
STX12	11196
PPP1R8	5613
SCARNA1	8
C1orf38	234
RPA2	3603
SMPDL3B	21
XKR8	903
EYA3	5294
LOC653566	1206
PTAFR	148
DNAJC8	9550
ATPIF1	4090
SESN2	974
MED18	767
PHACTR4	7892
RCC1	3253
SNHG3	1471
TRNAU1AP	2373
SNHG12	986
SNORD99	78
SNORA61	126
SNORA44	72
SNORA16A	92
RAB42	83
TAF12	1254
RNU11	24
GMEB1	3349
YTHDF2	9604
OPRD1	2
EPB41	9818
TMEM200B	55
SRSF4	12961
MECR	985
PTPRU	6030
MATN1	74
LOC100129196	5
LAPTM5	615
MIR4420	0
SDC3	39159
PUM1	21470
SNORD103B	0
SNORD103A	0
SNORD85	1
PRO0611	63
NKAIN1	15312
SNRNP40	2617
ZCCHC17	5050
FABP3	3510
SERINC2	1585
LOC149086	0
LOC284551	0
TINAGL1	82
HCRTR1	443
PEF1	2537
COL16A1	1688
BAI2	25447
MIR4254	7
SPOCD1	5
PTP4A2	13983
KHDRBS1	29116
TMEM39B	1979
KPNA6	11025
TXLNA	7541
CCDC28B	3035
IQCC	961
DCDC2B	290
TMEM234	803
EIF3I	8846
MTMR9LP	1242
FAM167B	252
LCK	4
HDAC1	4337
MARCKSL1	92274
LOC100128071	127
TSSK3	807
BSDC1	11925
ZBTB8B	3156
ZBTB8A	5669
ZBTB8OS	628
RBBP4	25819
SYNC	78
KIAA1522	7580
