Geneid	HISAT2 on data 10 and data 9: aligned reads (BAM)
PNRC2	38
SRSF10	120
MYOM3	0
IL22RA1	0
IL28RA	36
LOC284632	0
GRHL3	2
C1orf201	218
NIPAL3	1222
RCAN3AS	0
RCAN3	43
C1orf130	0
SRRM1	1082
CLIC4	3303
RUNX3	111
SYF2	1000
C1orf63	1187
RHD	18
TMEM50A	1660
RHCE	24
TMEM57	355
LDLRAP1	293
MAN1C1	395
SEPN1	2890
FAM54B	1473
LOC646471	80
C1orf135	18
PAQR7	311
STMN1	4237
MIR3917	0
PAFAH2	249
EXTL1	747
SLC30A2	2
TRIM63	4
PDIK1L	147
FAM110D	44
ZNF593	128
CNKSR1	68
CATSPER4	0
CEP85	145
SH3BGRL3	1493
UBXN11	511
CD52	15
AIM1L	0
ZNF683	6
LIN28A	0
DHDDS	478
HMGN2	1926
RPS6KA1	83
MIR1976	0
ARID1A	1008
PIGV	260
ZDHHC18	304
SFN	4
GPN2	134
GPATCH3	186
NR0B2	0
NUDC	2225
C1orf172	0
TRNP1	336
FAM46B	26
SLC9A1	705
WDTC1	1241
TMEM222	1125
LOC644961	21
SYTL1	38
MAP3K6	332
FCN3	2
CD164L2	0
GPR3	103
WASF2	1653
AHDC1	733
FGR	211
IFI6	1923
FAM76A	234
STX12	1888
PPP1R8	670
SCARNA1	0
C1orf38	58
RPA2	636
SMPDL3B	0
XKR8	164
EYA3	318
LOC653566	446
PTAFR	4
DNAJC8	1572
ATPIF1	1374
SESN2	231
MED18	96
PHACTR4	472
RCC1	79
SNHG3	144
TRNAU1AP	243
SNHG12	130
SNORD99	6
SNORA61	20
SNORA44	1
SNORA16A	6
RAB42	3
TAF12	262
RNU11	0
GMEB1	56
YTHDF2	574
OPRD1	3
EPB41	227
TMEM200B	91
SRSF4	1279
MECR	414
PTPRU	285
MATN1	7
LOC100129196	9
LAPTM5	183
MIR4420	0
SDC3	11280
PUM1	1318
SNORD103B	0
SNORD103A	0
SNORD85	0
PRO0611	2
NKAIN1	57
SNRNP40	195
ZCCHC17	1118
FABP3	420
SERINC2	18
LOC149086	0
LOC284551	0
TINAGL1	1015
HCRTR1	12
PEF1	1079
COL16A1	2628
BAI2	3777
MIR4254	0
SPOCD1	2
PTP4A2	4735
KHDRBS1	1445
TMEM39B	236
KPNA6	790
TXLNA	817
CCDC28B	275
IQCC	110
DCDC2B	41
TMEM234	112
EIF3I	1343
MTMR9LP	175
FAM167B	17
LCK	57
HDAC1	881
MARCKSL1	5621
LOC100128071	101
TSSK3	29
BSDC1	1868
ZBTB8B	28
ZBTB8A	140
ZBTB8OS	239
RBBP4	1342
SYNC	50
KIAA1522	776
YARS	957
S100PBP	377
FNDC5	624
HPCA	2533
TMEM54	907
RNF19B	186
AK2	1064
ADC	301
TRIM62	264
ZNF362	811
PHC2	1153
MIR3605	0
ZSCAN20	31
CSMD2	155
HMGB4	0
LOC402779	0
C1orf94	0
GJB5	5
GJB4	0
GJB3	14
GJA4	385
C1orf212	553
DLGAP3	1048
LOC653160	36
ZMYM6NB	133
ZMYM6	321
ZMYM1	109
SFPQ	2101
ZMYM4	880
KIAA0319L	1320
NCDN	4957
TFAP2E	81
PSMB2	892
C1orf216	675
CLSPN	19
EIF2C4	682
EIF2C1	733
EIF2C3	90
TEKT2	55
ADPRHL2	306
COL8A2	24
TRAPPC3	551
MAP7D1	2117
THRAP3	1730
SH3D21	54
FAM176B	177
STK40	769
LSM10	441
OSCP1	154
MRPS15	596
CSF3R	6
GRIK3	334
MIR4255	0
LOC728431	32
ZC3H12A	52
MEAF6	1015
SNIP1	119
DNALI1	447
GNL2	344
RSPO1	0
C1orf109	199
CDCA8	20
EPHA10	230
MANEAL	331
YRDC	185
C1orf122	1348
MTF1	388
INPP5B	503
SF3A3	555
FHL3	234
UTP11L	413
POU3F1	124
MIR3659	0
LOC339442	2
RRAGC	200
GJA9-MYCBP	2
MYCBP	0
GJA9	0
RHBDL2	73
AKIRIN1	1214
NDUFS5	2830
MACF1	9662
KIAA0754	52
BMP8A	221
PPIEL	108
PABPC4	802
SNORA55	1
HEYL	839
NT5C1A	14
HPCAL4	3039
PPIE	634
BMP8B	92
OXCT2	6
TRIT1	204
MYCL1	28
MFSD2A	693
CAP1	2708
PPT1	2778
RLF	361
TMCO2	1
ZMPSTE24	908
COL9A2	1647
SMAP2	863
ZNF643	28
ZNF642	125
DEM1	65
ZNF684	76
RIMS3	3366
LOC100130557	81
NFYC	523
MIR30E	0
MIR30C1	0
KCNQ4	115
CITED4	60
CTPS	179
LOC100507178	7
SLFNL1	2
SCMH1	550
EDN2	0
HIVEP3	254
GUCA2B	0
GUCA2A	0
FOXJ3	770
RIMKLA	365
ZMYND12	82
PPCS	409
CCDC30	50
PPIH	149
YBX1	3203
CLDN19	0
LEPRE1	222
C1orf50	162
LOC100129924	0
CCDC23	197
ERMAP	296
ZNF691	119
SLC2A1	4172
FLJ32224	23
FAM183A	0
EBNA1BP2	522
WDR65	16
TMEM125	94
C1orf210	0
TIE1	409
MPL	39
CDC20	14
ELOVL1	641
MED8	375
SZT2	725
HYI	0
PTPRF	2492
KDM4A	448
LOC100132774	12
ST3GAL3	755
ARTN	8
IPO13	1286
DPH2	235
ATP6V0B	1379
B4GALT2	1818
CCDC24	283
SLC6A9	237
KLF17	10
DMAP1	645
ERI3	1921
RNF220	1812
TMEM53	184
C1orf228	114
KIF2C	15
RPS8	5421
SNORD55	7
SNORD46	2
SNORD38A	8
SNORD38B	17
BEST4	10
PLK3	157
TCTEX1D4	1
BTBD19	31
PTCH2	189
EIF2B3	253
HECTD3	539
UROD	1005
ZSWIM5	214
LOC400752	28
HPDL	48
MUTYH	221
TOE1	131
TESK2	190
CCDC163P	221
MMACHC	96
PRDX1	5972
AKR1A1	603
NASP	1291
CCDC17	11
GPBP1L1	1146
RPS15AP10	0
TMEM69	297
IPP	152
MAST2	992
PIK3R3	491
TSPAN1	16
POMGNT1	1565
LURAP1	68
RAD54L	32
LRRC41	862
UQCRH	2085
NSUN4	224
FAAH	508
LOC729041	6
DMBX1	0
LOC100507423	4
KNCN	20
MKNK1	364
MOB3C	259
ATPAF1	2123
ATPAF1-AS1	0
LOC100130197	3
KIAA0494	3439
CYP4B1	8
CYP4Z2P	1
CYP4A11	0
CYP4X1	276
CYP4Z1	13
CYP4A22	0
PDZK1IP1	6
TAL1	34
STIL	29
CMPK1	2501
FOXE3	2
MGC12982	40
FOXD2	32
LOC388630	81
SKINTL	0
SLC5A9	7
SPATA6	408
AGBL4	37
BEND5	186
ELAVL4	61
DMRTA2	2
FAF1	497
CDKN2C	315
C1orf185	0
RNF11	4818
TTC39A	13
EPS15	3539
OSBPL9	1001
NRD1	1680
MIR761	0
RAB3B	34
TXNDC12	702
KTI12	42
BTF3L4	651
ZFYVE9	757
CC2D1B	686
ORC1	4
PRPF38A	957
ZCCHC11	599
GPX7	54
FAM159A	2
SELRC1	110
ZYG11B	771
ZYG11A	0
ECHDC2	813
SCP2	2220
PODN	235
SLC1A7	16
CPT2	340
C1orf123	747
MAGOH	273
LOC100507564	12
LRP8	657
FLJ40434	0
DMRTB1	0
GLIS1	33
TMEM48	186
YIPF1	235
DIO1	0
HSPB11	294
LRRC42	176
LDLRAD1	0
TMEM59	2984
TCEANC2	206
MIR4781	0
CDCP2	4
CYB5RL	64
MRPL37	499
SSBP3	688
ACOT11	205
FAM151A	43
HEATR8	53
HEATR8-TTC4	4
TTC4	11
PARS2	54
TTC22	2
C1orf177	0
DHCR24	914
TMEM61	2
BSND	0
PCSK9	5
USP24	1675
LOC100507634	12
MIR4422	0
PPAP2B	7685
PRKAA2	302
C1orf168	2
C8A	0
C8B	0
DAB1	65
OMA1	225
TACSTD2	2
MYSM1	502
JUN	1869
LOC100131060	18
HSD52	0
FGGY	206
MIR4711	0
HOOK1	126
CYP2J2	574
C1orf87	2
NFIA	1995
TM2D1	517
INADL	212
L1TD1	6
KANK4	18
USP1	617
DOCK7	1292
ANGPTL3	2
ATG4C	453
LINC00466	0
FOXD3	0
ALG6	129
ITGB3BP	97
EFCAB7	175
DLEU2L	5
PGM1	2026
ROR1	18
UBE2U	2
CACHD1	1121
MIR4794	0
RAVER2	648
JAK1	1781
MIR3671	0
MIR101-1	0
AK4	2748
DNAJC6	1121
LEPROT	1821
LEPR	601
PDE4B	1494
SGIP1	876
MIR3117	0
TCTEX1D1	27
INSL5	6
WDR78	50
MIER1	571
SLC35D1	297
C1orf141	2
IL23R	0
IL12RB2	18
SERBP1	2347
GADD45A	311
GNG12	1054
LOC100289178	33
DIRAS3	89
WLS	2335
MIR1262	0
RPE65	46
DEPDC1	0
LRRC7	154
PIN1P1	0
LRRC40	413
SRSF11	1714
ANKRD13C	490
HHLA3	271
CTH	139
PTGER3	30
ZRANB2-AS1	7
ZRANB2	1565
MIR186	5
ZRANB2-AS2	8
NEGR1	646
NEGR1-IT1	0
LRRIQ3	3
FPGT-TNNI3K	6
FPGT	162
TNNI3K	0
C1orf173	225
CRYZ	445
TYW3	290
LHX8	0
SLC44A5	152
ACADM	1819
RABGGTB	679
SNORD45C	3
SNORD45A	1
SNORD45B	2
MSH4	12
ASB17	0
ST6GALNAC3	223
ST6GALNAC5	224
PIGK	464
AK5	1077
ZZZ3	410
USP33	1464
FAM73A	394
NEXN	112
FUBP1	586
DNAJB4	640
GIPC2	35
MGC27382	0
PTGFR	38
IFI44L	689
IFI44	367
ELTD1	625
LPHN2	420
TTLL7	372
PRKACB	3063
SAMD13	18
UOX	4
DNASE2B	0
RPF1	296
GNG5	858
CTBS	228
C1orf180	0
SSX2IP	1180
LPAR3	86
MCOLN2	14
MCOLN3	13
WDR63	6
MIR4423	0
SYDE2	14
C1orf52	459
BCL10	155
LOC646626	2
DDAH1	10212
CYR61	1121
ZNHIT6	514
COL24A1	105
ODF2L	302
CLCA2	0
CLCA1	0
CLCA4	79
CLCA3P	0
SH3GLB1	1886
SEP15	2553
HS2ST1	1044
LOC339524	67
LMO4	3320
LOC100505768	2
PKN2	729
GTF2B	248
CCBL2	394
RBMXL1	503
GBP3	202
GBP1	197
GBP2	194
GBP7	0
GBP4	221
GBP5	47
GBP6	0
GBP1P1	28
LRRC8B	575
FLJ27354	35
LRRC8C	490
LRRC8D	407
GEMIN8P4	16
ZNF326	669
BARHL2	0
ZNF644	611
HFM1	60
CDC7	141
HSP90B3P	2
TGFBR3	684
BRDT	14
EPHX4	98
BTBD8	11
KIAA1107	544
C1orf146	7
GLMN	112
RPAP2	73
GFI1	15
EVI5	342
RPL5	5274
FAM69A	512
SNORD21	0
SNORA66	4
MTF2	300
TMED5	829
CCDC18	44
LOC100131564	151
DR1	467
FNBP1L	703
BCAR3	382
LOC100129046	0
MIR760	0
DNTTIP2	582
GCLM	160
ABCA4	37
ARHGAP29	1529
ABCD3	1314
F3	3608
SLC44A3	247
CNN3	4824
LOC729970	155
ALG14	90
TMEM56	784
TMEM56-RWDD3	16
RWDD3	266
FLJ31662	0
PTBP2	754
DPYD	189
MIR137HG	38
MIR2682	0
MIR137	0
LOC729987	0
SNX7	263
LPPR5	145
LOC100129620	10
LPPR4	530
PALMD	242
MIR548D1	0
MIR548AA1	0
FRRS1	0
AGL	831
SLC35A3	93
HIAT1	638
SASS6	60
CCDC76	214
LRRC39	34
DBT	591
RTCD1	524
MIR553	0
CDC14A	278
GPR88	47
LOC100128787	0
VCAM1	182
EXTL2	399
SLC30A7	250
DPH5	251
S1PR1	4371
OLFM3	165
DNAJA1P5	0
COL11A1	776
RNPC3	189
AMY2B	481
LOC648740	34
AMY2A	9
AMY1A	0
AMY1C	0
AMY1B	0
LOC100129138	0
PRMT6	210
NTNG1	125
VAV3	214
SLC25A24	222
NBPF4	0
NBPF6	0
FAM102B	290
HENMT1	69
PRPF38B	1015
FNDC7	0
STXBP3	1234
AKNAD1	2
SRG7	0
GPSM2	771
CLCC1	664
WDR47	958
TAF13	409
TMEM167B	1103
SCARNA2	0
C1orf194	62
KIAA1324	215
SARS	1716
CELSR2	2067
PSRC1	357
MYBPHL	12
SORT1	3126
PSMA5	704
SYPL2	86
ATXN7L2	219
CYB561D1	322
AMIGO1	230
GPR61	30
GNAI3	910
MIR197	0
GNAT2	3
AMPD2	1645
GSTM4	711
GSTM2	1063
GSTM1	2372
GSTM5	1126
GSTM3	5084
EPS8L3	6
CSF1	542
AHCYL1	15300
FAM40A	514
ALX3	60
UBL4B	38
SLC6A17	1511
KCNC4	647
LOC440600	14
RBM15	78
SLC16A4	160
HBXIP	1320
PROK1	0
CYMP	0
KCNA10	0
KCNA2	476
KCNA3	10
CD53	127
LRIF1	219
DRAM2	320
CEPT1	446
DENND2D	22
CHI3L2	10
RP11-165H20.1	0
CHIA	0
C1orf88	91
PGCP1	0
OVGP1	69
WDR77	400
ATP5F1	2458
C1orf162	35
ADORA3	14
LOC100129269	2
RAP1A	1128
FAM212B	825
LOC100506343	16
DDX20	146
KCND3	86
CTTNBP2NL	388
MIR4256	0
WNT2B	13
ST7L	200
CAPZA1	1051
MOV10	427
RHOC	2955
PPM1J	58
FAM19A3	8
SLC16A1	1982
AKR7A2P1	0
LRIG2	76
LOC643441	0
MAGI3	445
PHTF1	221
RSBN1	348
PTPN22	53
LOC100287722	2
BCL2L15	17
AP4B1	267
DCLRE1B	126
HIPK1	1666
OLFML3	212
SYT6	54
TRIM33	1028
BCAS2	594
DENND2C	38
AMPD1	0
NRAS	647
CSDE1	7558
SIKE1	520
SYCP1	0
TSHB	0
TSPAN2	79
NGF	20
VANGL1	119
CASQ2	389
NHLH2	8
SLC22A15	199
MAB21L3	2
ATP1A1	2240
ATP1A1OS	40
CD58	133
IGSF3	154
MIR320B1	0
CD2	50
PTGFRN	545
CD101	37
TTF2	36
MIR942	0
TRIM45	183
VTCN1	2
MAN1A2	456
FAM46C	99
GDAP2	120
WDR3	238
SPAG17	11
TBX15	97
WARS2	111
HAO2	0
HSD3B2	0
HSD3B1	0
HSD3BP4	8
LOC644242	14
ZNF697	73
PHGDH	4218
HMGCS2	0
REG4	0
NBPF7	0
ADAM30	0
NOTCH2	2562
FAM72B	0
HIST2H2BA	5
FCGR1B	2
EMBP1	4
LOC375010	1
LOC100130000	6
FLJ39739	5
LOC100286793	13
PPIAL4G	0
FAM72D	0
SRGAP2P2	15
LOC728855	6
LOC728875	34
PPIAL4C	0
PPIAL4B	0
PPIAL4A	0
PFN1P2	11
NBPF9	60
LOC653513	127
PDE4DIP	4283
SEC22B	622
NOTCH2NL	577
NBPF10	219
HFE2	0
TXNIP	4856
POLR3GL	588
ANKRD34A	248
LIX1L	230
RBM8A	462
GNRHR2	94
PEX11B	404
ITGA10	349
ANKRD35	464
PIAS3	546
NUDT17	66
POLR3C	123
RNF115	262
CD160	113
PDZK1	11
GPR89A	82
GPR89C	4
PDZK1P1	0
NBPF11	0
NBPF24	2
LOC728989	17
PRKAB2	661
PDIA3P	271
FMO5	68
CHD1L	709
LOC100289211	0
BCL9	544
ACP6	232
GJA5	147
GJA8	2
GPR89B	23
NBPF14	289
PPIAL4F	0
PPIAL4D	0
NBPF15	9
NBPF16	28
PPIAL4E	0
LOC645166	84
LOC388692	60
FCGR1C	0
HIST2H2BF	23
FAM91A2	1
FCGR1A	4
HIST2H3D	0
HIST2H4A	0
HIST2H4B	0
HIST2H3A	0
HIST2H3C	0
HIST2H2AA4	0
HIST2H2AA3	0
HIST2H2BC	2
HIST2H2BE	398
HIST2H2AC	2
HIST2H2AB	0
BOLA1	167
SV2A	2252
SF3B4	423
MTMR11	167
OTUD7B	728
VPS45	1044
PLEKHO1	1261
ANP32E	2707
CA14	99
APH1A	1758
C1orf54	375
C1orf51	136
MRPS21	1164
PRPF3	620
RPRD2	733
TARS2	483
ECM1	228
ADAMTSL4	41
MIR4257	1
MCL1	2926
ENSA	3866
GOLPH3L	216
HORMAD1	0
CTSS	66
CTSK	203
ARNT	517
SETDB1	411
CERS2	1479
ANXA9	180
FAM63A	440
PRUNE	259
BNIPL	8
C1orf56	83
CDC42SE1	1176
MLLT11	1176
GABPB2	108
SEMA6C	480
TNFAIP8L2	10
TNFAIP8L2-SCNM1	0
LYSMD1	179
SCNM1	20
TMOD4	2
VPS72	644
PIP5K1A	584
PSMD4	1903
ZNF687	598
PI4KB	1243
RFX5	662
SELENBP1	1959
PSMB4	1751
POGZ	1500
CGN	86
TUFT1	60
MIR554	0
SNX27	1205
CELF3	1702
RIIAD1	34
MRPL9	333
OAZ3	38
TDRKH	223
LINGO4	0
RORC	10
C2CD4D	0
LOC100132111	7
THEM5	33
THEM4	202
S100A10	586
S100A11	411
TCHHL1	0
TCHH	14
RPTN	0
HRNR	1
FLG	67
FLG2	0
CRNN	0
LCE5A	1
CRCT1	0
LCE3E	0
LCE3D	0
LCE3C	0
LCE3B	0
LCE3A	0
LCE2D	0
LCE2C	0
LCE2B	0
LCE2A	0
LCE4A	0
C1orf68	0
KPRP	2
LCE1F	0
LCE1E	0
LCE1D	0
LCE1C	0
LCE1B	0
LCE1A	0
LCE6A	0
SMCP	4
IVL	0
SPRR4	0
SPRR1A	0
SPRR3	0
SPRR1B	0
SPRR2D	0
SPRR2A	0
SPRR2B	0
SPRR2E	0
SPRR2F	0
SPRR2C	0
SPRR2G	2
LELP1	0
PRR9	0
LOR	2
PGLYRP3	0
PGLYRP4	0
S100A9	8
S100A12	0
S100A8	20
S100A7A	0
S100A7L2	0
S100A7	0
S100A6	1905
S100A5	14
S100A4	199
S100A3	1
S100A2	10
S100A16	2017
S100A14	22
S100A13	2563
S100A1	8859
CHTOP	831
SNAPIN	546
ILF2	1205
NPR1	20
INTS3	1371
SLC27A3	170
GATAD2B	710
DENND4B	1134
CRTC2	524
SLC39A1	869
CREB3L4	59
JTB	1420
RAB13	1077
RPS27	6814
NUP210L	12
TPM3	2846
MIR190B	0
C1orf189	0
C1orf43	3105
UBAP2L	1170
HAX1	995
AQP10	0
ATP8B2	810
IL6R	219
SHE	182
TDRD10	19
UBE2Q1	1141
CHRNB2	365
ADAR	2984
KCNN3	1001
PMVK	1688
PBXIP1	7444
PYGO2	698
SHC1	858
CKS1B	95
MIR4258	2
FLAD1	279
LENEP	0
ZBTB7B	565
DCST2	15
DCST1	0
LOC100505666	0
ADAM15	913
EFNA4	27
EFNA3	253
EFNA1	203
SLC50A1	185
DPM3	332
KRTCAP2	702
TRIM46	338
MUC1	65
MIR92B	3
THBS3	535
MTX1	130
GBAP1	230
GBA	346
FAM189B	412
SCAMP3	631
CLK2	378
HCN3	77
PKLR	4
FDPS	1048
RUSC1-AS1	10
RUSC1	636
ASH1L	2012
MIR555	0
POU5F1P4	0
LOC645676	17
MSTO1	129
YY1AP1	748
DAP3	694
MSTO2P	21
GON4L	378
SYT11	7945
RIT1	526
KIAA0907	682
SNORA42	1
SCARNA4	0
RXFP4	2
ARHGEF2	923
SSR2	1054
UBQLN4	1860
LAMTOR2	482
RAB25	0
MEX3A	62
LMNA	1192
SEMA4A	984
SLC25A44	749
PMF1	164
PMF1-BGLAP	0
BGLAP	4
PAQR6	12188
SMG5	1801
TMEM79	107
C1orf85	189
VHLL	2
CCT3	1906
C1orf182	7
RHBG	2
C1orf61	15142
MIR9-1	4
MEF2D	1312
IQGAP3	6
TTC24	1
APOA1BP	1193
GPATCH4	491
HAPLN2	259
BCAN	9447
NES	1073
CRABP2	178
ISG20L2	226
RRNAD1	281
MRPL24	659
HDGF	2740
PRCC	656
SH2D2A	40
NTRK1	26
INSRR	11
PEAR1	491
LRRC71	6
ARHGEF11	1048
MIR765	0
ETV3L	0
ETV3	67
CYCSP52	0
FCRL5	0
FCRL4	0
FCRL3	6
FCRL2	2
FCRL1	13
CD5L	0
KIRREL	125
LOC646268	0
CD1D	2
CD1A	0
CD1C	6
CD1B	0
CD1E	0
OR10T2	0
OR10K2	0
OR10K1	0
OR10R2	0
OR6Y1	0
OR6P1	0
OR10X1	0
OR10Z1	0
SPTA1	9
OR6K2	0
OR6K3	0
OR6K6	0
OR6N1	0
OR6N2	0
MNDA	150
PYHIN1	27
IFI16	365
AIM2	0
CADM3	2003
LOC100131825	14
DARC	92
FCER1A	4
OR10J3	0
OR10J1	0
OR10J5	0
APCS	0
CRP	0
DUSP23	192
FCRL6	17
SLAMF8	14
C1orf204	100
VSIG8	3
CCDC19	0
TAGLN2	1892
IGSF9	7
SLAMF9	1
LOC100505633	2
PIGM	144
KCNJ10	7141
KCNJ9	556
IGSF8	2093
ATP1A2	68646
ATP1A4	19
CASQ1	118
PEA15	26273
DCAF8	2243
PEX19	1479
COPA	2110
SUMO1P3	24
NCSTN	1014
NHLH1	8
VANGL2	507
SLAMF6	14
CD84	22
SLAMF1	5
CD48	74
SLAMF7	40
LY9	13
CD244	28
ITLN1	0
ITLN2	0
F11R	142
TSTD1	144
USF1	625
ARHGAP30	67
PVRL4	0
KLHDC9	257
PFDN2	1086
NIT1	346
DEDD	329
UFC1	1674
USP21	469
PPOX	323
B4GALT3	474
ADAMTS4	118
NDUFS2	1126
FCER1G	26
APOA2	0
TOMM40L	484
NR1I3	29
PCP4L1	239
MPZ	61
SDHC	1787
C1orf192	330
FCGR2A	7
HSPA6	9
FCGR3A	103
FCGR2C	0
HSPA7	11
FCGR3B	6
FCGR2B	6
RPL31P11	0
FCRLA	10
FCRLB	12
DUSP12	164
ATF6	557
OLFML2B	59
NOS1AP	138
MIR4654	0
MIR556	0
C1orf111	4
C1orf226	64
SH2D1B	26
UHMK1	1581
UAP1	440
DDR2	158
HSD17B7	169
C1orf110	3
RGS4	1829
RGS5	20304
NUF2	24
PBX1	1699
